id,collection,dc.contributor.author,dc.date.issued,dc.description[en],dc.format.extent,dc.format.mimetype,dc.identifier.citation[en],dc.identifier.uri,dc.language.iso[en],dc.publisher[en],dc.relation.ispartofseries,dc.relation.ispartofseries[en],dc.rights[en],dc.subject[en],dc.title[en],dc.type[en]
"28522","2451/28115","Bagnall, Roger S.||Warden, P.D.","1988",,"212532 bytes","application/pdf","Roger S. Bagnall and P. D. Warden, ""The Forty Thousand Citizens of Ephesos,"" CP 83 (1988) 220-23","http://hdl.handle.net/2451/28195","en_US","Classical Philology",,"D91",,"Roman Asia Minor||Ephesus","The Forty Thousand Citizens of Ephesos","Article"
"28668","2451/28115","Bagnall, Roger S.||Drew-Bear, Thomas","1974",,"1585119 bytes","application/pdf","Roger S. Bagnall and Thomas Drew-Bear, ""Notes on the History of Kourion,"" Cd'E 49 (1974) 179-95","http://hdl.handle.net/2451/28314","en_US","Chronique d’Égypte",,"D11",,"Epigraphy||Cyprus","Notes on the History of Kourion","Article"
"28523","2451/28115","Bagnall, Roger S.","1988",,"618387 bytes","application/pdf","Roger S. Bagnall, ""The Object of Reimbursement in P.Oxy. XIV 1718,"" Cd'E 63 (1988) 157-64","http://hdl.handle.net/2451/28196","en_US","Chronique d’Égypte",,"D92",,"Papyrology||Egypt, late antiquity","The Object of Reimbursement in P.Oxy. XIV 1718","Article"
"28531","2451/28115","Bagnall, Roger S.","1991",,"560642 bytes","application/pdf","Roger S. Bagnall, ""A Trick a Day to Keep the Tax Man at Bay? The Prostitute Tax in Roman Egypt,"" BASP 28 (1991) 5-12","http://hdl.handle.net/2451/28203","en_US","Bulletin of the American Society of Papyrologists",,"D100",,"Roman Egypt||Prostitution","A Trick a Day to Keep the Tax Man at Bay? The Prostitute Tax in Roman Egypt","Article"
"28525","2451/28115","Bagnall, Roger S.","1988",,"153727 bytes","application/pdf","Roger S. Bagnall, ""A Second Century Christian Burial at Tell el-Maskhuta?"" ZPE 74 (1988) 291-92","http://hdl.handle.net/2451/28197","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D93",,"Egypt||Early Christianity","A Second Century Christian Burial at Tell el-Maskhuta?","Article"
"28526","2451/28115","Bagnall, Roger S.","1988",,"1503253 bytes","application/pdf","Roger S. Bagnall, ""Archaeology and Papyrology,"" Journal of Roman Archaeology 1 (1988) 197-202","http://hdl.handle.net/2451/28198","en_US","Journal of Roman Archaeology",,"D94",,"Review Article||Hellenistic Egypt||Roman Egypt||Alan K. Bowman","Archaeology and Papyrology","Article"
"28527","2451/28115","Bagnall, Roger S.","1989",,"449520 bytes","application/pdf","Roger S. Bagnall, ""Fourth-Century Prices: New Evidence and Further Thoughts,"" ZPE 76 (1989) 69-76","http://hdl.handle.net/2451/28199","en_US","Zeitschrift für Papyrologie und Epigraphik",,"D96",,"Papyrology||Egypt, late antiquity","Fourth-Century Prices: New Evidence and Further Thoughts","Article"
"28532","2451/28115","Bagnall, Roger S.","1991",,"176321 bytes","application/pdf","Roger S. Bagnall, ""Freedmen and Freedwomen with Fathers?"" Journal of Juristic Papyrology 21 (1991) 7-8","http://hdl.handle.net/2451/28204","en_US","Journal of Juristic Papyrology",,"D101",,"Papyrology||Roman Egypt","Freedmen and Freedwomen with Fathers?","Article"
"28528","2451/28115","Bagnall, Roger S.","1989",,"1176259 bytes","application/pdf","Roger S. Bagnall, ""Official and Private Violence in Roman Egypt,"" BASP 26 (1989) 201-16","http://hdl.handle.net/2451/28200","en_US","Bulletin of the American Society of Papyrologists",,"D97",,"Papyrology||Roman Egypt","Official and Private Violence in Roman Egypt","Article"
"28529","2451/28115","Bagnall, Roger S.","1990",,"844307 bytes","application/pdf","Roger S. Bagnall, ""Notes on Egyptian Census Declarations, I,"" BASP 27 (1990) 1-14","http://hdl.handle.net/2451/28201","en_US","Bulletin of the American Society of Papyrologists",,"D98",,"Papyrology||Roman Egypt","Notes on Egyptian Census Declarations, I","Article"
"28530","2451/28115","Bagnall, Roger S.","1990",,"989083 bytes","application/pdf","Roger S. Bagnall, D99. ""Five Problematic Fourth-Century Pieces,"" BASP 27 (1990) 79-93","http://hdl.handle.net/2451/28202","en_US","Bulletin of the American Society of Papyrologists",,"D99",,"Papyrology||Egypt, late antiquity","Five Problematic Fourth-Century Pieces","Article"
"28533","2451/28115","Bagnall, Roger S.","1991",,"1196891 bytes","application/pdf","Roger S. Bagnall, D102. ""Notes on Egyptian Census Declarations, II,"" BASP 28 (1991) 13-32","http://hdl.handle.net/2451/28205","en_US","Bulletin of the American Society of Papyrologists",,"D02",,"Papyrology||Roman Egypt","Notes on Egyptian Census Declarations, II","Article"
"28534","2451/28115","Bagnall, Roger S.","1991",,"771932 bytes","application/pdf","Roger S. Bagnall, ""Notes on Egyptian Census Declarations, III,"" BASP 28 (1991) 121-33","http://hdl.handle.net/2451/28206","en_US","Bulletin of the American Society of Papyrologists",,"D103",,"Papyrology||Roman Egypt","Notes on Egyptian Census Declarations, III","Article"
"28535","2451/28115","Bagnall, Roger S.","1991",,"1558775 bytes","application/pdf","Roger S. Bagnall, ""The Taxes of Toka,"" Tyche 6 (1991) 37-43","http://hdl.handle.net/2451/28207","en_US","Tyche",,"D104",,"Papyrology||Roman Egypt","The Taxes of Toka","Article"
"28524","2451/28115","Bagnall, Roger S.","1992",,"2125377 bytes","application/pdf","Roger S. Bagnall, “Notes on Roman and Byzantine Documents,” Cd’E 66 (1992) 282-96","http://hdl.handle.net/2451/28208","en_US","Chronique d’Égypte",,"D106",,"Papyrology||Roman Egypt||Byzantine Egypt","Notes on Roman and Byzantine Documents","Article"
"28536","2451/28115","Bagnall, Roger S.","1992",,"236207 bytes","application/pdf","Roger S. Bagnall, “An Owner of Literary Papyri,” CP 87 (1992) 137-40","http://hdl.handle.net/2451/28209","en_US","Classical Philology",,"D107",,"Papyrology||Roman Egypt","An Owner of Literary Papyri","Article"
"28537","2451/28115","Bagnall, Roger S.","1992",,"1366395 bytes","application/pdf","Roger S. Bagnall, ""Military Officers as Landowners in Fourth Century Egypt,"" Chiron 22 (1992) 47-54","http://hdl.handle.net/2451/28210","en_US","Chiron",,"D108",,"Papyrology||Egypt, late antiquity","Military Officers as Landowners in Fourth Century Egypt","Article"
"28696","2451/28115","Bagnall, Roger S.","1975",,,,"Roger S. Bagnall, &quot;Ptolemaic Foreign Correspondence in P.Tebt.
8,&quot; JEA 61 (1975) 168-80","http://hdl.handle.net/2451/28336","en_US","Journal of Egyptian Archeaology","D14;",,,"Egypt||Papyrology","Ptolemaic Foreign Correspondence in P.Tebt. 8","Article"
"28697","2451/28115","Bagnall, Roger S.||Sijpesteijn, P. J.","1977",,,,"Roger S. Bagnall and P.J. Sijpesteijn, &quot;Three Receipts for Poll-Tax
and Bath-Tax,&quot; StudPap 16 (1977) 31-34","http://hdl.handle.net/2451/28337","en_US","Studia Papyrologica","D18;",,,"Roman Egypt||Epigraphy","Three Receipts for Poll-Tax and Bath-Tax","Article"
"28698","2451/28115","Bagnall, Roger S.","1977",,,,"Roger S. Bagnall, &quot;Price in 'Sales on Delivery',&quot; GRBS 18
(1977) 85-96","http://hdl.handle.net/2451/28338","en_US","Greek, Roman, and Byzantine Studies","D20;",,,"Roman Egypt||Papyrology||Economy","Price in 'Sales on Delivery'","Article"
"28699","2451/28115","Bagnall, Roger S.","1977",,,,"Roger S. Bagnall, &quot;Papyrology,&quot; Encyclopedia of Library and
Information Science XXI (New York 1977) 397-408","http://hdl.handle.net/2451/28339","en_US","Encyclopedia of Library and Information Science","D21;",,,"Papyrology","Papyrology","Article"
"30023","2451/28115","Bagnall, Roger","2010-03-23T14:37:14Z","Paper presented at &quot;Online Humanities Scholarship: The Shape of
Things to Come&quot; a three-day, Mellon Foundation Conference at the
University of Virginia to explore how to develop and sustain online
humanities research and publication, March 26-28, 2010: http://shapeofthings.org/index.html",,,,"http://hdl.handle.net/2451/29592","en_US",,,,"Copyright 2010, Roger Bagnall.","papyrology||digital humanities","Integrating Digital Papyrology","Document||Presentation"
